p_id;p_ident;p_number;p_projet;Type_publication;p_titre;p_type_com;p_speaker_invite;p_nom_conference;p_date_debut_conference;p_date_fin_conference;p_ville_conference;p_pays_conference;p_lien_conference;p_nom_journal;p_publication_journal;p_volume_journal;p_pages_journal;p_annee_publication;p_doi;p_url_bdd;p_date_soumission;p_date_notification;p_date_soumission_finale;p_nom_responsable;p_liste_auteurs;p_affiliation;p_directeur_stage;p_date_debut_stage;p_date_fin_stage;p_award;p_date_soutenance_these;p_composition_jury_these;p_etablissement_delivrant_these;p_directeur_these;p_date_debut_these;p_date_fin_these;p_nom_meeting;p_date_meeting;p_auteur;p_avec_abstract;Statut;p_actif
360;S038-35;35;S038;Stage;Conception d'un composant VHDL de Max Pooling et mise en place d'un nouvel environnement de test sur FPGA;;;;;;;;;;;;;;;;;;;;Pierre Gambier;IRT Saint Exupéry / Polytech Nice Sophia;Erwann Kervennic;;05/09/2022;;;;;;;;;;829;0;Réalisé;1
361;S038-36;36;S038;Stage;Déploiement d’algorithmes d’intelligence artificielle sur une cible embarquée;;;;;;;;;;;;;;;;;;;;Eya Boudokhane;IRT Saint Exupéry / École Nationale d’Ingénieurs de Sousse;Erwann Kervennic;;09/09/2022;;;;;;;;;;829;0;Réalisé;1
362;S007-2;2;S007;Communication;Look where you look! Saliency-guided Q-networks for visual RL tasks;;;NEURIPS;29/11/2022;01/12/2022;Nouvelle-Orléans;USA;;;;;;;;;;14/09/2022;14/09/2022;;Bertoin David, Zouitine Adil, Zouitine Mehdi, Rachelson Emmanuuel;IRT Saint Exupery, ISAE Supaero;;;;;;;;;;;;;801;0;Réalisé;1
367;S020-1;1;S020;Communication;Look where you look! Saliency-guided Q-networks for visual RL task;;;NEURIPS 2022;28/11/2022;03/12/2022;Nouvelle-Orléan (Louisane);Etats-unis;https://neurips.cc/;;;;;;;;16/05/2022;14/09/2022;19/05/2022;;David Bertoin*, Adil Zouitine*, Mehdi Zouitine*, Emmanuel Rachelson;IRT Saint Exupéry, ISAE SUPAERO, ANITI, Institut Mathématique de Toulouse, Université de Toulouse;;;;;;;;;;;;;801;1;Réalisé;1
369;S038-37;37;S038;Communication;Deployment of a cloud segmentation neural network on embedded hardware targets and benchmark of the different deployment toolchains;;;International workshop on On-Board Payload Data Compression (OBPDC 2022);28/09/2022;30/09/2022;Athènes;Grèce;https://atpi.eventsair.com/obpdc2022/;;;;;;;;;;;;Erwann Kervennic, Thomas Louis, Michael Benguigui, Frédéric Férésin, Yves Bobichon, Adrien Girard;IRT Saint Exupéry, Université Côte d’Azur, CNRS, LEAT, Activeeon;;;;;;;;;;;;;829;0;Réalisé;1
370;S038-38;38;S038;Stage;Étude d’un algorithme de Deep Learning pour la segmentation d’images hyperspectrales : le Triplet-Watershed;;;;;;;;;;;;;;;;;;;;Clotilde Szywala;IRT Saint Exupéry / Institut National des Sciences Appliquées Rouen (INSA);Yves Bobichon;;31/08/2022;;;;;;;;;;829;0;Réalisé;1
371;S038-39;39;S038;Stage;Etude d'algorithmes d'intelligence artificielle pour le traitement d'images embarqué;;;;;;;;;;;;;;;;;;;;Seif MZOUGHI;IRT Saint Exupéry / Institut national des sciences appliquées et de technologie de Tunis;Houssem Farhat;;31/07/2022;;;;;;;;;;829;0;Réalisé;1
374;S085-6;6;S085;Communication;Stratégies de modélisation AltaRica de la propagation de défaillances dans les systèmes dynamiques Strategies for modelling failure propagation in dynamic systems with AltaRica;;;LAMBDA MU 23;11/10/2022;13/10/2022;Paris;FRANCE;;;;;;;;;;;;;Tatiana Prosvirnova, Christel Seguin, Christophe Frazza, Estelle Saez, Mathilde Machin, Xavier de Bossoreille, Jean Gauthier, Pierre Darfeuil, Frédéric Deschamp, Michel Bateux;ONERA, SATODEV, IRT Saint Exupery, IRT SystemX, AIRBUS PROTECT, DASSAULT AVIATION, SAFRAN, LGM;;;;non;;;;;;;;;1130;0;Réalisé;1
375;S001-8;8;S001;Communication;A bound on the worst-case synchronization precision of IEEE802.1AS;;;RTAS2023;09/05/2023;12/05/2023;San Antonio, Texas;Etat Unis;http://2023.rtas.org/;;;;;;;;31/10/2022;20/01/2023;24/02/2023;;Quentin Bailleul , Katia Runser-Joffres, Jean-Luc Scharbarg, Philippe Cuenot;IRT, IRIT, IRIT, IRT/Continental;;;;;;;;;;;;;84;0;Refusé;1
376;M027-1;1;M027;Communication;CERAMIC MATRIX COMPOSITES FOR LINER SYSTEM OF RADIOACTIVE WASTE DISPOSAL CELLS;;;CMC II;14/11/2022;18/11/2022;Santa Fe;USA;http://engconf.us/conferences/materials-science-including-nanotechnology/ceramic-matrix-composites-ii/;;;;;;;;15/06/2022;29/07/2022;14/11/2022;;E. PERRET(1), S. MIOT(1), M. BOX(1), F. REBILLAT(2), G. VIGNOLES(2), F. BUMBIELER(3);(1)IRT Saint Exupéry, (2)LCTS, (3)ANDRA;;;;non;;;;;;;;;755;0;Réalisé;1
377;M014-2;2;M014;Communication;Réactivité d’un superalliage à base de nickel de fabrication additive lors de traitements de compaction isostatique à chaud;;;A3TS - Traitements et Parachèvements de Pièces issues de la FA ;30/11/2022;01/12/2022;Colmar;France;https://www.a3ts.org/evenements/fabrication-additive-colmar-2022;;;;;;;;;;;;Nicolas Mrozowski,  Aurélien Prillieux, Daniel Monceau, Enrica Epifano, Clara Desgranges, Safran Tech;IRT Saint Exupéry, IRT Saint Exupéry, CIRIMAT, CIRIMAT, SAFRAN;;;;non;;;;;;;;;1251;1;Réalisé;1
381;M014-3;3;M014;Communication;Industrial gases and  carbon footprint of heat  treatment: reducing the  impact.Case study of  Hot Isostatic Pressing;;;A3TS ;08/06/2022;09/06/2022;Nantes;France;https://www.a3ts.org/actualites/congres-a3ts-nantes-2022;;;;;;;;;;;;L. Bustamante Valencia, A. Spizzica, L. Coudurier , D. Nadolski, J. HUGUES, M.RAVAIOLI;Air Liquide, Air Liquide, Air Liquide, Air Liquide, IRT, IRT,;;;;;;;;;;;;;1251;0;Réalisé;1
383;M014-4;4;M014;Communication;Réactivité d’un superalliage à base de nickel de fabrication additive lors de traitements de compaction isostatique à chaud;;;GDR - ALMA;01/07/2022;01/07/2022;;;;;;;;;;;;;;;Nicolas MROZOWSKI, Aurélien PRILLIEUX , Clara DESGRANGES , Enrica EPIFANO , Daniel MONCEAU;IRT, IRT, SAFRAN, CIRIMAT,CIRIMAT;;;;non;;;;;;;;;1251;0;Réalisé;1
384;M014-5;5;M014;Communication;Réactivité d’un superalliage à base de nickel  de fabrication additive lors de traitements de  compaction isostatique à chaud;;;ADDIMALLANCE;01/07/2022;01/07/2022;;;;;;;;;;;;;;;Nicolas Mrozowski , Aurélien Prillieux , Daniel Monceau , Enrica Epifano,  Clara Desgranges ;IRT,IRT, CIRIMAT, CIRIMAT, SAFRAN;;;;non;;;;;;;;;1251;0;Réalisé;1
387;S018-1;1;S018;Communication;APISS presentation at Workshop on optical interconnects for space and aeronautic applications;;;Workshop on optical interconnects for space and aeronautic applications;15/11/2022;16/11/2022;Toulouse Balma;France;https://www.comet-cnes.fr/evenements/workshop-optical-interconnects-space-and-aeronautic-applications;;;;;;;;;;;;;;;;;non;;;;;;;;;989;0;Réalisé;1
389;A023-2;2;A023;Communication;Composites vitrimères reprocessables pour l'aéronautique.;;;Matériaux 2022;24/10/2022;28/10/2022;Lille;France;https://materiaux2022.org/;;;;;;;;16/05/2022;25/07/2022;25/07/2022;;Vincent Schenk, Mathias Destarac, Marc Guerre, Karine Labastie, Philippe Olivier;IRT, IMRCP,IMRCP, IRT, ICA;;;;non;;;;;;;;;55;0;Réalisé;1
390;A023-3;3;A023;Article journal;Vitrimer composites : current state and future challenges;;;;;;;;;Materials Advances;15/12/2022;22;8012-8029;2022; 10.1039/d2ma00654e;;;;;;Vincent Schenk, Mathias Destarac, Marc Guerre, Karine Labastie, Philippe Olivier;IRT, IMRCP, IMRCP, IRT, ICA;;;;;;;;;;;;;55;0;Réalisé;1
393;M014-6;6;M014;Article journal;Surface reactivity at 1200 °C of LBM and MIM specimens of y-y' nickel-based superalloy René 77 during an HIP treatment;;;;;;;;;Corrosion Science;;;;;;;;;;;Nicolas MROZOWSKI, Aurélien PRILLIEUX, Enrica EPIFANO, Clara DESGRANGES, Jonathan HUGUES, Daniel MONCEAU;IRT, IRT, CIRIMAT, SAFRAN, IRT, CIRIMAT;;;;;;;;;;;;;804;0;Réalisé;1
394;E003-2;2;E003;Communication;Propagation des perturbations electromagnetiques conduites sur des reseaux propulsifs d’aeronefs;;;CEM 2023;13/06/2023;15/06/2023;Toulouse;France;https://cem2023.sciencesconf.org/;;;;;;;;28/12/2022;;;;Victor Dos Santos, Pascal Frey;Safran Tech, IRT Saint Exupéry;;;;;;;;;;;;;821;1;Réalisé;1
395;E086-3;3;E086;Article journal;INSULATING MATERIALS FOR ELECTRICAL COMPONENTS USED FOR POWER TRANSMISSION ON BOARD THE AIRCRAFT;;;;;;;;;IMR (Insulating Material Review);08/12/2023;;;;;;;;;;Driss KENFAUI1,2,3*, Julien ESTEBAN1,4, Pierre BAENA3, Cyril PELVILLAIN3, Pierre HENRARD1,4 ;IRT,AIRBUS,SAFRAN;;;;;;;;;;;;;788;1;Réalisé;1
397;E086-4;4;E086;Communication;"	MODELISATION ET MESURE DE LA DIAPHONIE ENTRE UN HARNAIS AERONAUTIQUE HVDC ET UNE LIAISON SENSIBLE";;;CEM TOULOUSE 2023;13/06/2023;15/06/2023;TOULOUSE;FRANCE;https://cem2023.sciencesconf.org/;;;;;;;;28/12/2022;;;;Charles Jullien1, Laurent Moisset2,1, David Thomasse2,1, Sid-Ahmed Aris2;SAFRAN,IRT St Ex;;;;;;;;;;;;;788;1;Réalisé;1
399;E086-5;5;E086;Communication;Caractérisation de résistances thermiques locales liées à des assemblages de câbles et connecteurs électriques de forte puissance;;;SFT 2023 (Société Française de Thermique);30/05/2023;02/06/2023;REIMS;FRANCE;https://www.sft.asso.fr/;;;;;;;;;;;;Alexandre Marie1, Jean-Pierre Fradin1, Yves Fardel2, David Thomasse2;ICAM, IRT St Ex, Safran;;;;;;;;;;;;;788;1;Réalisé;1
400;U006-1;1;U006;Poster;5GMED Automotive and Railways Use Cases in Cross-Border Scenarios ;;;EUCNC 2022;07/06/2022;10/06/2022;Grenoble;France;https://www.eucnc.eu/2022/www.eucnc.eu/;;;;;;;;;;;;Francisco Vasquez, Philippe Veyssiere, Jad Nasredine, Ricard Vilalta, Giovanni Rigazzi;I2cat, I2ca, IRT-SE, CTTC, Cellnex;;;;non;;;;;;;;;989;0;Réalisé;1
